date,volume
2020-05-15,5911467.0
2020-05-18,4671794.0
2020-05-19,2748779.0
2020-05-20,4881117.0
2020-05-21,7531217.0
2020-05-22,3227675.0
2020-05-26,4648980.0
2020-05-27,3326936.0
2020-05-28,3222768.0
2020-05-29,2068124.0
2020-06-01,3167697.0
2020-06-02,11056617.0
2020-06-03,3336371.0
2020-06-04,3912991.0
2020-06-05,3857979.0
2020-06-08,3926042.0
2020-06-09,2742241.0
2020-06-10,9237034.0
2020-06-11,11061121.0
2020-06-12,4188688.0
2020-06-15,3916107.0
2020-06-16,2590006.0
2020-06-17,2074100.0
2020-06-18,2423295.0
2020-06-19,2939183.0
2020-06-22,5250881.0
2020-06-23,4290037.0
2020-06-24,5671876.0
2020-06-25,3515849.0
2020-06-26,7008324.0
2020-06-29,4671164.0
2020-06-30,3562600.0
2020-07-01,3486000.0
2020-07-02,4585900.0
2020-07-06,3287200.0
2020-07-07,2538400.0
2020-07-08,3999800.0
2020-07-09,3086500.0
2020-07-10,1916000.0
2020-07-13,2991900.0
2020-07-14,1716900.0
2020-07-15,1985900.0
2020-07-16,2400700.0
2020-07-17,2592600.0
2020-07-20,2752386.0
2020-07-21,4893525.0
2020-07-22,4236475.0
2020-07-23,7679039.0
2020-07-24,4388271.0
2020-07-27,20524175.0
2020-07-28,19221552.0
2020-07-29,11708059.0
2020-07-30,8190939.0
2020-07-31,8779614.0
2020-08-03,10284782.0
2020-08-04,6746883.0
2020-08-05,8267522.0
2020-08-06,8523493.0
2020-08-07,11708118.0
2020-08-10,8034499.0
2020-08-11,7959356.0
2020-08-12,4309637.0
2020-08-13,3470837.0
2020-08-14,5142909.0
2020-08-17,11442200.0
2020-08-18,8220238.0
2020-08-19,6486620.0
2020-08-20,4876661.0
2020-08-21,5082157.0
2020-08-24,3126239.0
2020-08-25,8035997.0
2020-08-26,4200571.0
2020-08-27,4478396.0
2020-08-28,2883106.0
2020-08-31,3808148.0
2020-09-01,5302413.0
2020-09-02,5984779.0
2020-09-03,11264972.0
2020-09-04,9126899.0
2020-09-08,6846445.0
2020-09-09,2916278.0
2020-09-10,4737742.0
2020-09-11,2583569.0
2020-09-14,3742562.0
2020-09-15,3355781.0
2020-09-16,4595912.0
2020-09-17,2884550.0
2020-09-18,2565663.0
2020-09-21,5809932.0
2020-09-22,2399767.0
2020-09-23,6177347.0
2020-09-24,5799395.0
2020-09-25,4083671.0
2020-09-28,3950642.0
2020-09-29,3976894.0
2020-09-30,3837239.0
2020-10-01,5354126.0
2020-10-02,4364653.0
2020-10-05,2245653.0
2020-10-06,3713068.0
2020-10-07,2491438.0
2020-10-08,6807973.0
2020-10-09,6580993.0
2020-10-12,9525054.0
2020-10-13,4435042.0
2020-10-14,4796129.0
2020-10-15,3897150.0
2020-10-16,3541692.0
2020-10-19,6480270.0
2020-10-20,7321271.0
2020-10-21,16042500.0
2020-10-22,10844396.0
2020-10-23,6830869.0
2020-10-26,9812033.0
2020-10-27,14293129.0
2020-10-28,11477983.0
2020-10-29,7717469.0
2020-10-30,6947570.0
2020-11-02,6149175.0
2020-11-03,6488097.0
2020-11-04,7990679.0
2020-11-05,14945947.0
2020-11-06,10274746.0
2020-11-09,15012350.0
2020-11-10,6328418.0
2020-11-11,9917475.0
2020-11-12,9924043.0
2020-11-13,8926417.0
2020-11-16,11713305.0
2020-11-17,16475440.0
2020-11-18,19981666.0
2020-11-19,10530699.0
2020-11-20,14489579.0
2020-11-23,15280501.0
2020-11-24,17478543.0
2020-11-25,17520269.0
2020-11-27,21926782.0
2020-11-30,20669968.0
2020-12-01,16040781.0
2020-12-02,8531939.0
2020-12-03,9490232.0
2020-12-04,10496056.0
2020-12-07,10693999.0
2020-12-08,13771340.0
2020-12-09,13716990.0
2020-12-10,12444152.0
2020-12-11,8764752.0
2020-12-14,9285710.0
2020-12-15,8883945.0
2020-12-16,18565649.0
2020-12-17,28695132.0
2020-12-18,11082824.0
2020-12-21,18936725.0
2020-12-22,12181330.0
2020-12-23,11054652.0
2020-12-24,12591233.0
2020-12-28,19499421.0
2020-12-29,16651759.0
2020-12-30,18116492.0
2020-12-31,14220908.0
2021-01-04,22817754.0
2021-01-05,19229033.0
2021-01-06,40502899.0
2021-01-07,32619323.0
2021-01-08,23114265.0
2021-01-11,39773925.0
2021-01-12,16072222.0
2021-01-13,16079442.0
2021-01-14,13053648.0
2021-01-15,17498108.0
2021-01-19,14866771.0
2021-01-20,19216990.0
2021-01-21,28626225.0
2021-01-22,17117788.0
2021-01-25,12345686.0
2021-01-26,9805197.0
2021-01-27,17234804.0
2021-01-28,11579944.0
2021-01-29,19315891.0
2021-02-01,9026754.0
2021-02-02,9903038.0
2021-02-03,10209260.0
2021-02-04,9593765.0
2021-02-05,7808626.0
2021-02-08,24164321.0
2021-02-09,13947089.0
2021-02-10,14184535.0
2021-02-11,11818540.0
2021-02-12,9790041.0
2021-02-16,13481649.0
2021-02-17,14213812.0
2021-02-18,14268497.0
2021-02-19,17989277.0
2021-02-22,19086013.0
2021-02-23,28876867.0
2021-02-24,12797125.0
2021-02-25,12799959.0
2021-02-26,21944763.0
2021-03-01,12908050.0
2021-03-02,7070736.0
2021-03-03,10287323.0
2021-03-04,16875054.0
2021-03-05,22820282.0
2021-03-08,11466432.0
2021-03-09,10269148.0
2021-03-10,12048589.0
2021-03-11,8881375.0
2021-03-12,9038130.0
2021-03-15,9907200.0
2021-03-16,6088129.0
2021-03-17,9194941.0
2021-03-18,10315191.0
2021-03-19,6469578.0
2021-03-22,6884599.0
2021-03-23,11498086.0
2021-03-24,14409225.0
2021-03-25,16413593.0
2021-03-26,8776549.0
2021-03-29,6538985.0
2021-03-30,6686315.0
2021-03-31,6518257.0
2021-04-01,6541792.0
2021-04-05,9881310.0
2021-04-06,7089567.0
2021-04-07,8610469.0
2021-04-08,4501575.0
2021-04-09,4501079.0
2021-04-12,8230018.0
2021-04-13,11611500.0
2021-04-14,15617198.0
2021-04-15,6926654.0
2021-04-16,6419874.0
2021-04-19,12926467.0
2021-04-20,7715463.0
2021-04-21,7475904.0
2021-04-22,15926857.0
2021-04-23,13704538.0
2021-04-26,7994420.0
2021-04-27,5166617.0
2021-04-28,4292117.0
2021-04-29,8603131.0
2021-04-30,7521952.0
2021-05-03,7645759.0
2021-05-04,8110586.0
2021-05-05,8933165.0
2021-05-06,6641329.0
2021-05-07,7319905.0
2021-05-10,8692342.0
2021-05-11,6976137.0
2021-05-12,6991755.0
2021-05-13,21863713.0
2021-05-14,8948582.0
2021-05-17,17928715.0
2021-05-18,10580147.0
