start_time,close,high,low,open,volume
05/01/2020,7358.75,7495.0,7318.0,7354.19,38331.085604
06/01/2020,7758.0,7795.34,7346.76,7357.64,54635.695316
07/01/2020,8145.28,8207.68,7723.71,7758.9,91171.684661
08/01/2020,8055.98,8455.0,7870.0,8145.92,112622.64264
09/01/2020,7817.76,8055.96,7750.0,8054.72,64239.51983
10/01/2020,8197.02,8199.0,7672.0,7817.74,82406.777448
11/01/2020,8020.01,8286.34,8003.16,8198.86,54810.032667
12/01/2020,8184.98,8197.0,7960.0,8020.01,38131.494336
13/01/2020,8110.34,8196.0,8055.89,8184.97,31159.755683
14/01/2020,8810.01,8880.0,8105.54,8110.34,120399.126742
15/01/2020,8821.41,8916.48,8564.0,8814.64,84816.297606
16/01/2020,8720.01,8859.81,8586.0,8820.01,51991.074284
17/01/2020,8913.28,9041.65,8672.44,8720.15,70897.737377
18/01/2020,8915.96,8988.88,8806.38,8913.27,38294.746545
19/01/2020,8701.7,9198.98,8466.0,8915.09,70676.889259
20/01/2020,8642.35,8746.99,8521.28,8701.72,38896.639746
21/01/2020,8736.03,8789.0,8488.0,8642.35,36494.687659
22/01/2020,8682.36,8818.0,8590.0,8736.04,29080.557138
23/01/2020,8404.52,8691.81,8306.39,8682.77,48165.944597
24/01/2020,8439.0,8528.02,8238.0,8404.52,41687.529529
25/01/2020,8340.58,8451.26,8254.9,8438.99,25521.157932
26/01/2020,8615.0,8618.13,8293.66,8340.01,31130.485164
27/01/2020,8907.57,9000.0,8535.0,8614.39,53973.542996
28/01/2020,9374.21,9400.0,8862.4,8907.57,74584.853765
29/01/2020,9301.53,9449.24,9216.0,9375.34,53864.065122
30/01/2020,9513.21,9578.0,9204.44,9301.57,60626.744259
31/01/2020,9352.89,9530.22,9210.01,9511.52,45552.022352
01/02/2020,9384.61,9464.53,9281.0,9351.71,28578.067354
02/02/2020,9331.51,9477.03,9120.0,9384.41,45690.91254
03/02/2020,9292.24,9618.79,9234.0,9331.59,50892.133451
04/02/2020,9197.02,9350.0,9093.01,9291.35,53308.175266
05/02/2020,9612.04,9744.45,9177.22,9197.02,64870.415615
06/02/2020,9772.0,9862.57,9526.35,9612.03,64949.706588
07/02/2020,9813.73,9885.0,9730.0,9772.0,43966.114632
08/02/2020,9895.05,9940.0,9667.11,9813.87,43600.843666
09/02/2020,10151.75,10166.0,9880.75,9895.04,43408.475616
10/02/2020,9851.83,10188.0,9756.0,10151.72,59573.084619
11/02/2020,10223.08,10323.59,9700.0,9851.74,62422.395224
12/02/2020,10326.46,10450.0,10223.08,10223.08,61008.06393
13/02/2020,10229.63,10500.0,10080.0,10325.33,79344.358759
14/02/2020,10344.36,10381.56,10111.37,10227.78,47038.480173
15/02/2020,9904.72,10375.0,9801.0,10344.36,57657.202947
16/02/2020,9917.27,10050.0,9638.12,9904.46,60023.999537
17/02/2020,9706.0,9964.16,9452.67,9910.7,70261.011901
18/02/2020,10164.71,10250.0,9576.01,9706.0,70604.124019
19/02/2020,9593.79,10250.0,9350.0,10164.78,55162.586895
20/02/2020,9596.42,9699.0,9400.0,9594.65,60152.342914
21/02/2020,9677.05,9755.51,9550.21,9597.21,42181.554524
22/02/2020,9650.86,9709.17,9560.02,9677.05,24636.757623
23/02/2020,9936.4,9990.0,9645.0,9650.85,37702.089843
24/02/2020,9656.13,9990.0,9473.56,9936.4,55796.59612
25/02/2020,9315.84,9675.0,9250.0,9655.52,54379.344552
26/02/2020,8785.25,9377.44,8633.63,9316.48,92130.345482
27/02/2020,8823.21,8971.77,8531.0,8786.0,72483.578762
28/02/2020,8692.91,8900.0,8445.0,8823.25,71155.208977
29/02/2020,8523.61,8790.0,8523.55,8690.8,36748.183035
01/03/2020,8531.88,8750.0,8411.0,8523.61,43892.201779
02/03/2020,8915.24,8965.75,8498.0,8530.3,60401.31773
03/03/2020,8760.07,8919.65,8651.0,8911.18,55154.997282
04/03/2020,8750.87,8848.29,8660.0,8760.07,38696.482578
05/03/2020,9054.68,9159.42,8746.54,8750.99,58201.866355
06/03/2020,9131.88,9170.0,8985.5,9054.64,43782.948044
07/03/2020,8886.66,9188.0,8835.0,9130.89,45422.204525
08/03/2020,8033.31,8886.76,8000.0,8885.25,77537.315166
09/03/2020,7929.87,8179.31,7632.01,8034.76,116968.863268
10/03/2020,7894.56,8149.0,7728.01,7929.87,86783.443875
11/03/2020,7934.52,7980.0,7590.0,7894.57,79942.411172
12/03/2020,4800.0,7966.17,4410.0,7934.58,261505.608653
13/03/2020,5578.6,5955.0,3782.13,4800.01,402201.673764
14/03/2020,5172.06,5640.52,5055.13,5576.05,136910.135974
15/03/2020,5361.3,5940.0,5093.1,5172.48,139916.146534
16/03/2020,5028.97,5365.42,4442.12,5360.33,227276.92276
17/03/2020,5312.64,5525.0,4921.45,5028.86,150089.926318
18/03/2020,5393.04,5436.17,5009.37,5312.64,137127.634894
19/03/2020,6162.37,6400.0,5252.53,5393.26,199020.873439
20/03/2020,6208.36,6900.0,5670.0,6162.05,219298.329514
21/03/2020,6186.98,6456.98,5860.02,6204.57,128913.668363
22/03/2020,5816.19,6407.87,5734.01,6187.04,119115.990527
23/03/2020,6467.31,6600.0,5688.0,5816.05,164674.215785
24/03/2020,6744.72,6833.0,6371.33,6465.25,151138.009878
25/03/2020,6677.43,6957.96,6450.0,6744.69,132155.734989
26/03/2020,6737.36,6780.0,6510.0,6677.42,83026.555211
27/03/2020,6359.11,6842.59,6261.0,6737.27,82914.968354
28/03/2020,6236.65,6360.0,6024.0,6359.11,93159.693429
29/03/2020,5881.42,6266.0,5866.56,6236.65,63311.627714
30/03/2020,6394.38,6599.0,5857.76,5880.5,118889.549992
31/03/2020,6410.44,6523.23,6321.4,6394.45,72337.595259
01/04/2020,6642.92,6679.94,6150.11,6412.14,97500.7524
02/04/2020,6794.09,7198.0,6551.0,6643.36,149299.906871
03/04/2020,6734.1,7048.0,6602.1,6793.86,104080.276939
04/04/2020,6856.99,6990.41,6650.01,6732.97,72990.861139
05/04/2020,6772.78,6895.54,6677.52,6857.41,49685.356983
06/04/2020,7329.9,7355.14,6765.0,6772.78,118052.000832
07/04/2020,7197.32,7459.69,7077.0,7329.9,103585.168918
08/04/2020,7361.28,7420.0,7150.0,7197.32,76059.145838
09/04/2020,7283.54,7371.92,7108.08,7360.26,61094.872417
10/04/2020,6858.92,7295.75,6739.98,7283.54,104674.623375
11/04/2020,6876.83,6944.3,6760.0,6858.92,45470.293206
12/04/2020,6903.79,7177.0,6780.0,6876.84,73868.666501
13/04/2020,6837.91,6903.79,6575.0,6903.79,96415.476573
14/04/2020,6868.7,6978.0,6754.28,6838.04,69068.623285
15/04/2020,6621.24,6933.0,6605.0,6868.57,61571.384994
16/04/2020,7101.94,7190.0,6468.27,6621.25,125009.857539
17/04/2020,7027.55,7148.12,6972.98,7101.99,54126.509763
18/04/2020,7248.6,7293.08,7014.4,7026.78,49488.542819
19/04/2020,7120.74,7266.15,7055.6,7248.6,45664.86393
20/04/2020,6826.83,7220.0,6751.0,7121.4,90149.49137
21/04/2020,6841.37,6940.0,6762.0,6828.98,60109.710808
22/04/2020,7125.14,7156.38,6818.0,6841.36,61486.377334
23/04/2020,7482.39,7738.0,7020.0,7125.12,102773.569561
24/04/2020,7505.0,7615.96,7388.0,7483.96,60182.119939
25/04/2020,7538.67,7705.0,7431.07,7505.0,43874.427726
26/04/2020,7693.1,7700.0,7480.0,7539.03,50522.616209
27/04/2020,7774.62,7792.02,7606.0,7693.1,65441.339576
28/04/2020,7738.98,7780.0,7659.12,7773.51,46302.752638
29/04/2020,8778.57,8952.89,7710.05,7738.58,183546.887514
30/04/2020,8620.0,9460.0,8401.0,8778.58,206277.214124
01/05/2020,8826.96,9059.18,8613.56,8620.0,91468.815059
02/05/2020,8972.05,9010.0,8753.0,8825.67,59002.08755
03/05/2020,8894.16,9200.0,8712.0,8972.58,90126.065643
04/05/2020,8871.96,8950.0,8522.0,8894.15,84418.512331
05/05/2020,9021.83,9118.58,8760.0,8871.92,76480.765342
06/05/2020,9142.92,9395.0,8906.21,9021.36,105925.30242
07/05/2020,9986.4,10067.0,9021.0,9143.4,147154.611378
08/05/2020,9800.01,10035.96,9705.0,9986.3,100683.7964
09/05/2020,9539.4,9914.25,9520.0,9800.02,81950.679567
10/05/2020,8722.77,9574.83,8117.0,9539.1,183865.182028
11/05/2020,8561.52,9168.0,8200.0,8722.77,168807.251832
12/05/2020,8810.79,8978.26,8528.78,8562.04,86522.780066
13/05/2020,9309.37,9398.0,8792.99,8810.99,92466.274018
14/05/2020,9791.98,9939.0,9256.76,9309.35,129565.37747
15/05/2020,9316.42,9845.62,9150.0,9791.97,115890.761516
16/05/2020,9381.27,9588.0,9220.0,9315.96,59587.627862
17/05/2020,9680.04,9888.0,9322.1,9380.81,68647.764323
18/05/2020,9733.93,9950.0,9464.23,9681.11,82006.603583
19/05/2020,9775.53,9897.21,9474.0,9733.93,78539.760454
20/05/2020,9511.43,9842.0,9326.0,9775.13,74923.73809
21/05/2020,9068.65,9578.47,8815.0,9511.43,108928.780969
22/05/2020,9170.0,9271.0,8933.52,9067.51,58943.131024
23/05/2020,9179.15,9307.85,9070.0,9170.0,43526.296966
24/05/2020,8720.34,9298.0,8700.0,9179.01,70379.86645
25/05/2020,8900.35,8979.66,8642.72,8718.14,62833.910949
26/05/2020,8841.18,9017.67,8700.0,8900.35,58299.770138
27/05/2020,9204.07,9225.0,8811.73,8841.0,68910.355514
28/05/2020,9575.89,9625.47,9110.0,9204.07,74110.787662
29/05/2020,9427.07,9605.26,9330.0,9575.87,57374.362961
30/05/2020,9697.72,9740.0,9331.23,9426.6,55665.27254
31/05/2020,9448.27,9700.0,9381.41,9697.72,48333.786403
01/06/2020,10200.77,10380.0,9421.67,9448.27,76649.12696
02/06/2020,9518.04,10228.99,9266.0,10202.71,108970.773151
03/06/2020,9666.24,9690.0,9365.21,9518.02,46252.644939
04/06/2020,9789.06,9881.63,9450.0,9666.32,57456.100969
05/06/2020,9621.16,9854.75,9581.0,9788.14,47788.05005
06/06/2020,9666.3,9735.0,9531.05,9621.17,32752.950893
07/06/2020,9746.99,9802.0,9372.46,9666.85,57952.848385
08/06/2020,9782.01,9800.0,9633.0,9746.99,40664.664125
09/06/2020,9772.43,9877.0,9570.0,9782.0,46024.001289
10/06/2020,9885.0,9992.72,9704.18,9772.44,47130.762982
11/06/2020,9280.4,9964.0,9113.0,9885.22,94418.98473
12/06/2020,9465.13,9557.12,9232.51,9278.88,50119.066932
13/06/2020,9473.34,9494.73,9351.0,9464.96,27759.784851
14/06/2020,9342.1,9480.99,9245.0,9473.34,30055.506608
15/06/2020,9426.02,9495.0,8910.45,9342.1,86107.924707
16/06/2020,9525.59,9589.0,9373.09,9426.05,52052.446927
17/06/2020,9465.14,9565.0,9236.61,9526.97,48046.411152
18/06/2020,9386.32,9489.0,9280.0,9465.13,37381.953765
19/06/2020,9310.23,9438.3,9215.79,9386.32,45330.983673
20/06/2020,9358.95,9395.0,9170.95,9310.23,30329.065384
21/06/2020,9294.69,9422.0,9281.54,9358.95,24316.926234
22/06/2020,9685.69,9780.0,9277.09,9294.69,57895.468343
23/06/2020,9624.89,9720.0,9577.03,9685.69,41031.02938
24/06/2020,9296.49,9670.0,9208.0,9624.33,61571.561464
25/06/2020,9249.49,9340.0,9009.69,9298.33,55831.619156
26/06/2020,9162.21,9298.0,9045.45,9249.49,50292.298277
27/06/2020,9012.0,9196.24,8833.0,9162.21,46290.930113
28/06/2020,9116.35,9191.0,8948.06,9012.0,30688.176421
29/06/2020,9192.56,9238.0,9024.67,9116.16,42120.293261
30/06/2020,9138.55,9205.0,9064.89,9192.93,31463.162801
01/07/2020,9232.0,9292.0,9080.1,9138.08,38488.528699
02/07/2020,9086.54,9261.96,8940.0,9231.99,45725.168076
03/07/2020,9058.26,9125.0,9037.47,9086.54,28943.420177
04/07/2020,9135.46,9190.0,9040.04,9057.79,26441.968484
05/07/2020,9069.41,9145.24,8893.03,9135.0,34073.653627
06/07/2020,9344.2,9375.0,9055.92,9069.41,54463.132277
07/07/2020,9257.39,9379.42,9203.0,9342.47,34587.336678
08/07/2020,9436.06,9470.0,9231.0,9257.4,56140.517781
09/07/2020,9232.43,9440.79,9160.0,9436.06,48044.450645
10/07/2020,9288.34,9317.48,9125.0,9232.42,38295.494006
11/07/2020,9234.03,9299.28,9178.25,9288.34,22561.366
12/07/2020,9302.75,9345.0,9157.5,9234.02,30872.702286
13/07/2020,9242.62,9343.82,9200.89,9303.31,42740.069115
14/07/2020,9255.85,9279.54,9113.0,9242.61,45772.552509
15/07/2020,9197.6,9276.49,9160.57,9255.85,39053.579665
16/07/2020,9133.72,9226.15,9047.25,9197.6,43375.571191
17/07/2020,9154.32,9186.83,9089.81,9133.72,28054.358741
18/07/2020,9170.28,9219.3,9121.1,9154.31,22554.541457
19/07/2020,9208.99,9232.27,9101.35,9170.3,26052.019417
20/07/2020,9160.78,9221.52,9131.0,9208.99,35458.764082
21/07/2020,9390.0,9437.73,9152.8,9160.78,60413.582486
22/07/2020,9518.16,9544.0,9261.0,9390.0,48815.004107
23/07/2020,9603.27,9664.0,9440.33,9518.16,51856.2335
24/07/2020,9537.8,9637.0,9463.44,9603.27,43931.136205
25/07/2020,9700.42,9732.9,9513.0,9538.1,40679.545416
26/07/2020,9931.54,10111.0,9650.0,9700.42,65279.269319
27/07/2020,11029.96,11394.86,9917.21,9931.54,150188.933144
28/07/2020,10906.27,11242.23,10565.0,11029.96,97267.734187
29/07/2020,11100.53,11342.82,10812.0,10906.27,76838.094233
30/07/2020,11099.61,11170.0,10831.0,11100.52,60794.826456
31/07/2020,11335.46,11444.0,10960.0,11099.79,70063.660974
01/08/2020,11801.17,11861.0,11220.0,11335.46,85087.485126
